OBJECTID *;Shape *;REGN;SOATO;CATEGORY;NAMEOBJECT;NAME;Район;Name_categ;y;x;;
25;Точка;8036;2246856906;121;Коханово;Поселок городского типа - городской поселок-АТЕ;Толочинский;гп Коханово;54.461258;30.001165;;Витебская
21;Точка;8035;2246501000;113;Толочин;Город районного подчинения-АТЕ;Толочинский;г. Толочин;54.406378;29.713278;;Витебская
39;Точка;7687;2244553000;121;Богушевск;Поселок городского типа - городской поселок-АТЕ;Сенненский;гп Богушевск;54.84561;30.208422;;Витебская
14;Точка;7686;2244501000;113;Сенно;Город районного подчинения-АТЕ;Сенненский;г. Сенно;54.81279;29.70608;;Витебская
9;Точка;7532;2242551000;121;Россоны;Поселок городского типа - городской поселок-АТЕ;Россонский;гп Россоны;55.903585;28.811604;;Витебская
27;Точка;6994;2240854904;121;Воропаево;Поселок городского типа - городской поселок-АТЕ;Поставский;гп Воропаево;55.142091;27.203816;;Витебская
18;Точка;6995;2240562000;221;Лынтупы;Поселок городского типа - городской поселок-ТЕ;Поставский;гп Лынтупы;55.049153;26.308914;;Витебская
4;Точка;6993;2240501000;113;Поставы;Город районного подчинения-АТЕ;Поставский;г. Поставы;55.114771;26.84159;;Витебская
38;Точка;6564;2238817906;221;Ветрино;Поселок городского типа - городской поселок-ТЕ;Полоцкий;гп Ветрино;55.409173;28.467716;;Витебская
16;Точка;9396;2238501000;113;Полоцк;Город районного подчинения-АТЕ;Полоцкий;г. Полоцк;55.499258;28.78448;;Витебская
23;Точка;6279;2236562000;221;Ореховск;Поселок городского типа - городской поселок-ТЕ;Оршанский;гп Ореховск;54.683634;30.498286;;Витебская
22;Точка;6278;2236554000;121;Копысь;Поселок городского типа - городской поселок-АТЕ;Оршанский;гп Копысь;54.32207;30.294234;;Витебская
36;Точка;6284;2236551000;121;Болбасово;Поселок городского типа - городской поселок-АТЕ;Оршанский;гп Болбасово;54.432191;30.292661;;Витебская
34;Точка;9395;2236502000;113;Барань;Город районного подчинения-АТЕ;Оршанский;г. Барань;54.47963;30.31901;;Витебская
19;Точка;9394;2236501000;113;Орша;Город районного подчинения-АТЕ;Оршанский;г. Орша;54.511707;30.409455;;Витебская
11;Точка;5768;2233510000;113;Дисна;Город районного подчинения-АТЕ;Миорский;г. Дисна;55.562128;28.210795;;Витебская
10;Точка;5767;2233501000;113;Миоры;Город районного подчинения-АТЕ;Миорский;г. Миоры;55.620646;27.631816;;Витебская
26;Точка;5585;2230551000;121;Лиозно;Поселок городского типа - городской поселок-АТЕ;Лиозненский;гп Лиозно;55.021185;30.799383;;Витебская
8;Точка;9392;2227501000;213;Лепель;Город районного подчинения-ТЕ;Лепельский;г. Лепель;54.884126;28.695117;;Витебская
20;Точка;5180;2224501000;113;Дубровно;Город районного подчинения-АТЕ;Дубровенский;г. Дубровно;54.574397;30.688576;;Витебская
32;Точка;4891;2221802904;121;Бегомль;Поселок городского типа - городской поселок-АТЕ;Докшицкий;гп Бегомль;54.734101;28.056305;;Витебская
15;Точка;4890;2221501000;113;Докшицы;Город районного подчинения-АТЕ;Докшицкий;г. Докшицы;54.894551;27.770591;;Витебская
35;Точка;4503;2218846906;121;Езерище;Поселок городского типа - городской поселок-АТЕ;Городокский;гп Езерище;55.834147;29.991442;;Витебская
3;Точка;4502;2218501000;113;Городок;Город районного подчинения-АТЕ;Городокский;г. Городок;55.460808;29.990229;;Витебская
33;Точка;4064;2215850906;121;Подсвилье;Поселок городского типа - городской поселок-АТЕ;Глубокский;гп Подсвилье;55.148147;27.963475;;Витебская
31;Точка;4063;2215501000;113;Глубокое;Город районного подчинения-АТЕ;Глубокский;г. Глубокое;55.144818;27.686406;;Витебская
